title,original_title,overview,release_date
CODA,CODA,"As a CODA (Child of Deaf Adults), Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her love of music and her fear of abandoning her parents.",2021-08-13
Cinderella,Cinderella,"Cinderella, an orphaned girl with an evil stepmother, has big dreams and with the help of her Fabulous Godmother, she perseveres to make them come true.",2021-09-03
Traveling Light,Traveling Light,"On May 30th, 2020, Uber and delivery driver Caddy searches for his missing son who has been living on the Los Angeles streets during the early days of the pandemic. Along the way, his path crosses that of Harry, a cult leader who is holding a bizarre ceremony up on Mulholland Drive. All the while, news of the horrific murder of George Floyd reverberates around the city and the social fabric collapses.",2021-10-10
Schumacher,Schumacher,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.",2021-09-14
The Starling,The Starling,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,2021-09-17
The Show,The Show,"A man goes on a mission to locate a stolen artifact for a client, which leads him to a haunted town full of vampires, sleeping beauties, and Voodoo gangsters.",2021-08-26
The Box,La caja,A young boy on a mission to collect what he believes to be his father’s remains gets sucked into the underbelly of the migrant industry in Mexico.,2021-09-06
Boiling Point,Boiling Point,A head chef balances multiple personal and professional crises at a popular restaurant in London.,2021-07-05
Infinite,Infinite,"Evan McCauley has skills he never learned and memories of places he has never visited. Self-medicated and on the brink of a mental breakdown, a secret group that call themselves “Infinites” come to his rescue, revealing that his memories are real.",2021-09-09
The Suicide Squad,The Suicide Squad,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",2021-07-28
Nobody,Nobody,"Hutch Mansell, a suburban dad, overlooked husband, nothing neighbor — a ""nobody."" When two thieves break into his home one night, Hutch's unknown long-simmering rage is ignited and propels him on a brutal path that will uncover dark secrets he fought to leave behind.",2021-03-18
Citizen Ashe,Citizen Ashe,Follows the life and career of Arthur Ashe.,2021-12-03
VadeMecum,VadeMecum,"VadeMecum is a new short produced by the Palme d’Or-nominated animators Stephen and Timothy Quay. The film shows the life and works of Polish poet Cyprian Kamil Norwid, and offers a great introduction to his legacy ahead of the bicentennial of his birth in September 2021.  The Brothers Quay say: ‘We took the challenge to make this film for an audience who will have probably never ever heard of Norwid; however, in the briefness of this film, we had hoped that we could still ignite the gentle curiosity of the imagination of the viewer towards the legacy that this man left in writing and in art that was simply never validated in his lifetime’.",2021-04-12
Baphomet,Baphomet,"An American family celebrates their 28-year-old daughter's pregnancy. The celebration is interrupted when a Satanic cult leader, Henrik Brandr, unexpectedly visits their ranch. Henrik offers to pay the family a large sum for ownership of their land. Jacob Richardson, the father, rejects the offer due to the priceless sentimental value of the ranch. Henrik, displeased, begins to put devastating curses on the Richardsons, trying to force them off their land - even if it means murdering them. After suffering unexplainable tragedies, the Richardsons seek help from Marybeth, a white witch high priestess. They soon discover a terrible secret about their house, revealing why their land is so valuable to the cult. They realize they must protect their house from the cult at all costs, and a violent battle between good and evil ensues.",2021-06-08
Comedians,Comedians,"Six aspiring comedians tired of the mediocrity of their lives, at the end of an evening stand-up course they prepare to face their first performance in a club. In the audience there is also an examiner, who will choose one of them for a TV show. For everyone this is the great opportunity to change their life, for some it could be the last one. The performances begin and each comedian takes the stage with a great dilemma: to respect the teachings of their master, devoted to intelligent and uncompromising comedy, or to twist their numbers to satisfy the much less refined taste of the examiner? Or maybe look for a third way, one of absolute originality? Through the stories of six comedians, Comedians is a reflection on the very meaning of comedy in our time, facing absolutely topical issues.",2021-06-10
Dancing Queens,Dancing Queens,"The story of Dylan Pettersson, a 23-year-old girl from a small island in the Swedish archipelago with big dancing aspirations.",2021-06-03
The Tomorrow War,The Tomorrow War,"The world is stunned when a group of time travelers arrive from the year 2051 to deliver an urgent message: Thirty years in the future, mankind is losing a global war against a deadly alien species. The only hope for survival is for soldiers and civilians from the present to be transported to the future and join the fight. Among those recruited is high school teacher and family man Dan Forester. Determined to save the world for his young daughter, Dan teams up with a brilliant scientist and his estranged father in a desperate quest to rewrite the fate of the planet.",2021-09-03
Zola,Zola,"A waitress agrees to accompany an exotic dancer, her put-upon boyfriend, and her mysterious and domineering roommate on a road trip to Florida to seek their fortune at a high-end strip club.",2021-06-30
Attica,Attica,"Follows the largest prison uprising in US history, conducting dozens of new interviews with inmates, journalists, and other witnesses.",2021-09-09
Blind Trust,Blind Trust,An immigration lawyer is unwittingly entangled in a money-laundering scheme where his only chance to survive is to confront the same people who set him up.,2021-09-22
Being Earnest,Being Earnest,"A Groovy 1960s Musical Take on Wilde’s Most Popular Play. Being Earnest takes place in a mod, 1960’s, Austin Powers-era setting. All of the brilliant wit in Wilde’s most popular play intact in this effervescent musical about two young couples and the societal conventions, over-bearing mothers, and misplaced handbags in railway stations that they must overcome in the course of finding true love. The score is a sparkling homage to 1960’s rock groups such as Herman’s Hermits, The Dave Clark Five, The Rolling Stones, The Seekers, The Hollies, The Lovin’ Spoonful and more.",2021-09-17
Candyman,Candyman,"A Chicago artist's sanity starts to unravel, unleashing a terrifying wave of violence when he begins to explore the macabre history of the Candyman.",2021-08-25
Annie Live!,Annie Live!,"Annie, the beloved seven-time Tony Award-winning Broadway sensation, comes to life like never before in a live musical event starring Harry Connick, Jr., Nicole Scherzinger, Tituss Burgess, Megan Hilty and Taraji P. Henson, with newcomer Celina Smith in the title role of Annie. The iconic musical follows smart and spirited little orphan Annie, whose whole life changes when larger-than-life billionaire Daddy Warbucks takes her away from an orphanage run by the mean Miss Hannigan. One of Broadway's all-time biggest hits, the stage production features such popular songs as ""Tomorrow"" and ""It's the Hard Knock Life,"" which are adored by generations of audiences around the world.",2021-12-02
The Fever,A Febre,"Justino, a 45-year-old member of the indigenous Desana people, is a security guard at the Manaus harbor. As his daughter prepares to soon depart to Brasília, Justino comes down with a mysterious fever.",2021-06-30
Hypocritical Hit,Hypocritical Hit,The satanic panic in the 1980s was real.... real hypocritical. When religious parents Bill and Shelley take away their daughter's metal records and D&D they have to answer to a lower power for their own sins and now it's up Chloe and Lou to save them from Satan's grasp! Hypocritical Hit is a new film from Ama Lea dedicated to all the girls who grew up with dirt under their nails and metal in their hearts.,2021-10-31
Ferry,Ferry,"Before he built a drug empire, Ferry Bouman returns to his hometown on a revenge mission that finds his loyalty tested — and a love that alters his life.",2021-05-13
Kate,Kate,A ruthless criminal operative has less than 24 hours to exact revenge on her enemies and in the process forms an unexpected bond with the daughter of one of her past victims.,2021-09-10
Danger! Danger!,Danger! Danger!,"It’s 1985 and adventurer, Jonathan Danger, has just crash landed onto an Island 20 miles off the coast of Africa. He’s looking for a temple that may or may not be his ticket to go back in time. Too bad the Soviets got there first. Too bad they want to go back in time to change the events of the Space Race and the Cold War and World War II. Too bad he has a punctured a lung. Too bad he’s been kidnapped by Jungle Jim and his sister Jade Calloway. Too bad he never gives up.",2021-03-15
The Unforgivable,The Unforgivable,A woman is released from prison after serving a sentence for a violent crime and re-enters a society that refuses to forgive her past.,2021-11-24
Lapsis,Lapsis,"In a parallel present, delivery man Ray Tincelli is struggling to support himself and his ailing younger brother. After a series of two-bit hustles and unsuccessful swindles, Ray takes a job in a strange new realm of the gig economy: trekking deep into the forest, pulling cable over miles of terrain to connect large, metal cubes that link together the new quantum trading market. As he gets pulled deeper into the zone, he encounters growing hostility and the threat of robot cablers, and must choose to either help his fellow workers or to get rich and get out.",2021-02-12
Black Box,Boîte noire,"Mathieu is a young and talented black box analyst on a mission to solve the reason behind the deadly crash of a brand new aircraft. Yet, when the case is closed by authorities, Mathieu cannot help but sense there is something wrong with the evidence. As he listens to the tracks again, he starts detecting some seriously disturbing details. Could the tape have been modified? Going against his boss' orders, Mathieu begins his own rogue investigation - an obsessional and dangerous quest for truth that will quickly threaten far more than his career...",2021-09-08
Cry Macho,Cry Macho,A one-time rodeo star and washed-up horse breeder takes a job from an ex-boss to bring the man's young son home from Mexico.,2021-09-16
The Boss Baby: Family Business,The Boss Baby: Family Business,The Templeton brothers — Tim and his Boss Baby little bro Ted — have become adults and drifted away from each other. But a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.,2021-07-01
Algren,Algren,"Algren will spotlight the hard-knock life and authentic creative legacy of one of the most underrated writers of the twentieth century, Nelson Algren. Algren's brutally honest portrayal of the American underclass and his hard-nosed lifestyle became his pathway to compassion. Through interviews with Algren contemporaries, experts, and ""literary soulmates,"" as well as through the photography of Algren's friends, Art Shay and Stephen Deutch, the film will tell his story. It will celebrate his tremendous contribution to and influence on American letters, and push Algren, champion of the marginalized, out from the margins.",2021-10-21
Immaculate,Imaculat,"When young Daria enters rehab to kick the drug habit her first love left her with, her perceived innocence saves her from the sexual advances of the mostly male junkies inside and gains her their protection. Suddenly thrown into the spotlight and enjoying the attention, Daria soon finds out that special treatment comes at a great price.",2021-09-09
Free Guy,Free Guy,"A bank teller discovers he is actually a background player in an open-world video game, and decides to become the hero of his own story. Now, in a world where there are no limits, he is determined to be the guy who saves his world his way before it's too late.",2021-08-11
Grow Home,Grow Home,"A plant, neglected by its new owner, will possess the latter's body to find the one it considers its mother.",2021-09-01
Belfast,Belfast,"Buddy is a young boy on the cusp of adolescence, whose life is filled with familial love, childhood hijinks, and a blossoming romance. Yet, with his beloved hometown caught up in increasing turmoil, his family faces a momentous choice: hope the conflict will pass or leave everything they know behind for a new life.",2021-11-12
Bruised,Bruised,"Jackie Justice is a mixed martial arts fighter who leaves the sport in disgrace. Down on her luck and simmering with rage and regret years after the fight, she's coaxed into a brutal underground fight by her manager and boyfriend Desi and grabs the attention of a fight league promoter who promises Jackie a life back in the Octagon. But the road to redemption becomes unexpectedly personal when Manny - the son she gave up as an infant - shows up at her doorstep. A triumphant story of a fighter who reclaims her power, in and out of the ring, when everyone has counted her out",2021-11-17
VERDAD!! -The Sound of Truth-,VERDAD!!－真実の音－,"A spectacular performance filled with the passion and energy of the members of the star troupe led by top star Makoto Rei! The first act is a unique Takarazuka Revue show featuring famous songs from many works performed by the Star Troupe. The second act will consist of pops, rock, and musical numbers, and will showcase the charm of Makoto Rei, who is not confined to the boundaries of the Takarazuka Revue.",2021-11-20
Wrath of Man,Wrath of Man,"A cold and mysterious new security guard for a Los Angeles cash truck company surprises his co-workers when he unleashes precision skills during a heist. The crew is left wondering who he is and where he came from. Soon, the marksman's ultimate motive becomes clear as he takes dramatic and irrevocable steps to settle a score.",2021-04-22
"Erin, Verified","Erin, Verified","In most aspects of her life, Erin Jones is a normal person. She’s 27 years old, she works a retail job and she lives in Chicago with her three roommates. That, and she also has more than two million followers on the popular video-sharing app TikTok. Erin, Verified is an open, honest look at the effect pseudo-fame and parasocial relationships have on people in the age of social media.",2021-05-10
Sing 2,Sing 2,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.",2021-12-01
Mistletoe in Montana,Mistletoe in Montana,"Merry, who owns the ranch, has been unlucky in love, but that's about to change when a single father, Mark, and his two kids book the ranch for Christmas week. Adventure is on the menu, the holiday spirit is everywhere, and love is in the air.",2021-12-17
Night Portraiture,Night Portraiture,"Night Portraiture was a series of experiments in improvised filmmaking, created during the hours between 1:00 and 6:00 a.m. across various New York locales (Gowanus, Kensington, the subway system) in 2013. In semi-somnambulistic altered states, the artists play out scenes inspired by the night, the city, and found objects along the way. This eight-minute edit, recut by the filmmakers in 2021, comprises scenes from the first Night Portraiture. (Screened 2/17/22 at MoMA  as part of Millennium Film Workshop: “Nighttime” NYC event).",2021-01-01
Snapper,Snapper,"The untold story of SNAPPER, an unfinished early 90s film about a man eating turtle that wreaks havoc on a lakeside community in New England. Through unearthed behind-the-scenes set footage, photos, newly digitized film reels of daily footage, and never-before-told stories from the filmmakers, this short documentary tells the story of an idea that almost became a reality. The film also provides a window into the local Boston special FX makeup and horror communities of 1980s and 1990s",2021-01-07
Shang-Chi and the Legend of the Ten Rings,Shang-Chi and the Legend of the Ten Rings,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,2021-09-01
Tokyo Shaking,Tokyo Shaking,"March 11, 2011. The biggest tsunami Japan has ever experienced triggers the Fukushima disaster. Risks are being downplayed but the foreign community in Tokyo is terrified by this tragic event and the fact that no one is capable of assessing its scope. Among them, Alexandra, a French executive newly arrived from Hong Kong to work in a bank, has to face this nuclear crisis. Torn apart between fol- lowing the company’s instructions and going back to her husband and children who are still in Hong Kong, she will find herself defending honor and given word, despite the pervading terror and chaos.",2021-06-23
Skateshop,Skateshop,A group of Skaters band together to save their local Skateshop,2021-11-19
Supercool,Supercool,"Best friends, Neil and Gilbert start their senior year of high school with high hopes and aspirations. Neil has always fantasized about being cool enough to date his long time crush and Gilbert has always dreamed of being a social media super star. After what is, by all accounts, a very disappointing and embarrassing first day in school, Neil makes a magical wish to be cool just at the magical moment when the clock strikes 11:11. The next morning, Neil wakes up to a reality that is straight from the comics of his dreams.",2021-07-02
The Passion,The Passion,"The story of a young man who accidentally kills the love of his life in a car crash, and seeks resolution and escape with her mother. This psychologically complex yet subtle story brings us into post-recession rural Ireland. A community has turned its back on who they believe is a perpetrator rather than a victim. Steven has done time for the incident, and can’t find a way to reconcile himself to his new life. He turns to his dead girlfriend’s mother for solace, and a strange relationship unfolds.",2021-07-24
Nobody Sleeps in the Woods Tonight 2,W lesie dziś nie zaśnie nikt II,"When something horrible happens to the only survivor of a bloody massacre, an insecure rookie cop must overcome his fears to stop further carnage.",2021-10-27
Ren'ai sōdan: O-kuchi ni dekinai o toshigoro,恋愛相談 おクチにできないお年頃,"Hatsumi, who has the ability to hear the voice of her favorite person, had a crush on Yugo, a fellow university circle. One day she praised Yugo's clothes in the club room, and he shouted ""Chikusho!"" In his heart, and after that day he stopped going to school. Maybe it's my fault that I didn't come to the circle and school. Hatsumi thought so and visited Yugo's home .",2021-03-26
The Furnace,Pugon,"In a fishing village where pawning children is the norm, Sonia, a 14-year-old girl full of dreams, is thrown into the pawnship slavery to pay off the debt of her poor parents. After months of servitude under a tyrannical employer, Sonia is forcedly pawned back into labor to pay for the expenses of her father’s funeral. When will this cycle of debt bondage end? Is a bright future even possible for Sonia?",2021-08-06
Spencer,Spencer,"During her Christmas holidays with the royal family at the Sandringham estate in Norfolk, England, Diana decides to leave her marriage to Prince Charles.",2021-11-04
Hypnotic,Hypnotic,"A young woman seeking self-improvement enlists the help of a renowned hypnotist but, after a handful of intense sessions, discovers unexpected and deadly consequences.",2021-10-27
A Quiet Place Part II,A Quiet Place Part II,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize that the creatures that hunt by sound are not the only threats that lurk beyond the sand path.",2021-05-21
Army of the Dead,Army of the Dead,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble: venturing into the quarantine zone to pull off the greatest heist ever attempted.",2021-05-14
Robin Robin,Robin Robin,A bird raised by mice begins to question where she belongs and sets off on a daring journey of self-discovery.,2021-10-09
Jujutsu Kaisen 0,劇場版 呪術廻戦 0,"Yuta Okkotsu is a nervous high school student who is suffering from a serious problem—his childhood friend Rika has turned into a curse and won't leave him alone. Since Rika is no ordinary curse, his plight is noticed by Satoru Gojo, a teacher at Jujutsu High, a school where fledgling exorcists learn how to combat curses. Gojo convinces Yuta to enroll, but can he learn enough in time to confront the curse that haunts him?",2021-12-24
Red Rocket,Red Rocket,"After hitting rock bottom in Los Angeles, former porn star Mikey Saber returns to his hometown in Texas to stay with his estranged wife and mother-in-law. Just as tensions begin to ease, he becomes infatuated with a young doughnut shop worker named Strawberry.",2021-12-10
Chaos Walking,Chaos Walking,"Two unlikely companions embark on a perilous adventure through the badlands of an unexplored planet as they try to escape a dangerous and disorienting reality, where all inner thoughts are seen and heard by everyone.",2021-02-24
7 Prisoners,7 Prisioneiros,An impoverished teen seeking to escape the clutches of a human trafficker must weigh living up to his moral code against his struggle to survive.,2021-10-22
Malcolm & Marie,Malcolm & Marie,"As a filmmaker and his girlfriend return home from his movie premiere, smoldering tensions and painful revelations push them toward a romantic reckoning.",2021-01-29
Noise,Ruido,"A dinner takes place at the home of a prominent businessman. The assistants, 3 couples︎: the businessman and his wife, his best friend and his wife, ︎his partner and his wife. The ""rules of the game"" are very clear. A closed stage︎: the house. A murder︎: that of the businessman. Five suspects: all with apparent motives to commit the crime, and a detective to make sense of the pieces and find the culprit.  Through the interrogations with each of these five murderous candidates, the reconstruction of what happened that night will gradually put on the table the letters of a swing of forbidden relationships, complexes, disagreements, envy, jealousy and shady deals.",2021-05-11
Pleasure,Pleasure,"19 year old Linnéa leaves her small town in Sweden and heads for Los Angeles with the aim of becoming the world's next big porn star, but the road to her goal turns out to be bumpier than she imagined.",2021-10-08
Lead Me Home,Lead Me Home,Poignant stories of homelessness on the West Coast of the US frame this cinematic portrait of a surging humanitarian crisis.,2021-09-03
Easy Targets,Easy Targets,"Vietnam 1973. After a brutal Vietcong attack, American sniper Calvin Hart and his injured spotter Thomas Newton must fight their way through enemy territory with limited resources to reach their rescue team. While communicating via radio with their sergeant, the soldiers become the targets of bounty hunters, assassins and the VC's best sharpshooters. With Newton dying fast and Hart losing his sanity even faster, the pair faces immeasurable odds made worse by a haunting obligation waiting back at home.",2021-06-19
Monster,Monster,"The story of Steve Harmon, a 17-year-old honor student whose world comes crashing down around him when he is charged with felony murder.",2021-07-15
A Chance for Christmas,A Chance for Christmas,"Social media influencer Christina Chance promotes the perfect family image. This year, she has the chance to become the face of lifestyle brand, Love Handles, on the condition that her Christmas Eve special delivers at least two million engagements. Seems easy enough except Christina’s family is far from perfect. When her Love Handles account manager, Devon, shows up and discovers Christina’s life is all smoke and mirrors, he helps Christina keep up her ruse. With a Christmas wish, Christina and Devon are given the chance to relive the day until Christina can get the views she needs to win the endorsement. As Christina and Devon work together, sparks fly, and they learn the power of family is far more important than views.",2021-06-18
The Venus Effect,Venuseffekten,"A romantic comedy about Liv, who is at the beginning of her 20s. She is very close to her parents and working in the family greengrocer business when, against all expectation, she falls in love with a spirited and somewhat older rainbow girl, Andrea. Andrea claims to be suffering from stress. But in reality, she is heartbroken and has sought refuge at her uncle’s apple plantation. Liv’s encounter with Andrea becomes the catalyst for a divorce, the loss of a friendship and an identity crisis that ultimately shatters their love. But in a rebellion against her parents, Liv realises that love is mutable and that a family may assume many forms.",2021-11-18
Night at the Eagle Inn,Night at the Eagle Inn,Fraternal twins spend a hellish night at the remote inn their father disappeared from the night they were born.,2021-10-08
The Voyeurs,The Voyeurs,"When Pippa and Thomas move into their dream apartment, they notice that their windows look directly into the apartment opposite – inviting them to witness the volatile relationship of the attractive couple across the street. But what starts as a simple curiosity turns into full-blown obsession with increasingly dangerous consequences.",2021-08-25
Kaddu Mucchi,Kaddu Mucchi,"Bengaluru boy Siddharth, aka Siddu (Vijay Suriya), is a happy-go-lucky guy brought up in a nuclear family. He wants to enjoy his life amid nature, but his father wants him to become the managing director of a prestigious construction company. Promising his father that he would take up the role after a year, Siddu decides to go to Theerthahalli, where he meets his dream girl, Aishwarya (Megha Shree). Siddu, who hails from a rich family, wants to marry an orthodox Aishwarya, but she is reluctant to accept his proposal. He tries every trick to win over Aishwarya, even ending up at her house as a marriage broker. Will he be able to win over Aishwarya and her family?",2021-02-03
Girl in the Basement,Girl in the Basement,"Sara is a teen girl who is looking forward to her 18th birthday to move away from her controlling father Don. But before she could even blow out the candles, Don imprisons her in the basement of their home.",2021-02-27
The Black Phone,The Black Phone,"Finney Blake, a shy but clever 13-year-old boy, is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney.",2022-06-16
Prey,Prey,"When danger threatens her camp, the fierce and highly skilled Comanche warrior Naru sets out to protect her people. But the prey she stalks turns out to be a highly evolved alien predator with a technically advanced arsenal.",2022-08-02
Avatar: The Way of Water,Avatar: The Way of Water,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",2022-12-14
Golden Hour,Golden Hour,Filmmaking can sometimes be a very chaotic process. Allie is about to learn it as the director just got one last crazy idea.,2022-10-24
Hotel Dunsmuir,Hotel Dunsmuir,"A young woman with extrasensory perception flees her abusive husband, only to land at an historic hotel containing a sinister presence.",2022-10-04
Barbarian,Barbarian,"In town for a job interview, a young woman arrives at her Airbnb late at night only to find that it has been mistakenly double-booked and a strange man is already staying there. Against her better judgement, she decides to stay the night anyway.",2022-09-08
As Good as Dead,As Good as Dead,An ex-cop in self-imposed witness protection in Mexico becomes a target when a fight video of his apprentice goes viral.,2022-12-16
Montana Story,Montana Story,Two estranged siblings return home to the sprawling ranch they once knew and loved in order to care for their ailing father.,2022-05-13
Sisu,Sisu,"When an ex-soldier who discovers gold in the Lapland wilderness tries to take the loot into the city, German soldiers led by a brutal SS officer battle him.",2022-09-09
The Swimmers,The Swimmers,"From war-torn Syria to the 2016 Rio Olympics, two young sisters embark on a risky voyage, putting their hearts and their swimming skills to heroic use.",2022-11-24
Top Gun: Maverick,Top Gun: Maverick,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",2022-05-21
Magic Spot,Magic Spot,Two cousins use a magic spot in the local woods that acts as a time travel portal to both assist their dead uncle and to rekindle an old romance.,2022-05-13
365 Days: This Day,365 dni: Ten dzień,"Laura and Massimo are back and hotter than ever. But the reunited couple's new beginning is complicated by Massimo’s family ties and a mysterious man who enters Laura’s life to win her heart and trust, at any cost.",2022-04-26
Ithaka,Ithaka,"The campaign to free Julian Assange takes on intimate dimensions in this documentary portrait of an elderly man’s fight to save his son.  Arguably the world’s most famous political prisoner, WikiLeaks founder Julian Assange is a figure pretty much everybody has an opinion about; perhaps more importantly, he serves as the emblem of an international arm wrestle over freedom of journalism, government corruption and unpunished war crimes. For his family members who face the prospect of losing him forever to the abyss of the US justice system, however, this David-and-Goliath struggle is personal – and, with his health declining in a British maximum-security prison and American government prosecutors pulling out all the stops to extradite him, the clock is ticking.",2022-04-21
Interceptor,Interceptor,A U.S. Army Captain uses her years of tactical training to save humanity from sixteen nuclear missiles launched at the U.S. as a violent attack threatens her remote missile interceptor station.,2022-05-26
The Fabelmans,The Fabelmans,"Growing up in post-World War II era Arizona, young Sammy Fabelman aspires to become a filmmaker as he reaches adolescence, but soon discovers a shattering family secret and explores how the power of films can help him see the truth.",2022-11-11
Metal Lords,Metal Lords,"For teenage misfits Hunter and Kevin, the path to glory is clear: Devote themselves to metal. Win Battle of the Bands. And be worshipped like gods.",2022-04-08
"Alice, Darling","Alice, Darling","Pushed to the breaking point by Simon, her psychologically abusive boyfriend, Alice becomes an unwitting participant in an intervention staged by her two closest friends while on vacation. As she rediscovers the essence of herself and gains some much-needed perspective, she slowly starts to fray the cords of codependency that bind her. However, Simon's vengeance is as inevitable as it is shattering, and once unleashed, it tests her strength, her courage, and the bonds of deep-rooted friendships.",2022-12-30
Do Revenge,Do Revenge,A dethroned queen bee at a posh private high school strikes a secret deal with an unassuming new student to enact revenge on one another’s enemies.,2022-09-14
American Siege,American Siege,An ex-NYPD officer-turned-sheriff of a small rural Georgia town has to contend with a gang of thieves who have taken a wealthy doctor hostage.,2022-01-07
Beast,Beast,"A recently widowed man and his two teenage daughters travel to a game reserve in South Africa. However, their journey of healing soon turns into a fight for survival when a bloodthirsty lion starts to stalk them.",2022-08-11
Amsterdam,Amsterdam,"In the 1930s, three friends—a doctor, a nurse, and an attorney—witness a murder, become suspects themselves and uncover one of the most outrageous plots in American history.",2022-09-27
Unplugging,Unplugging,"Think a rustic getaway with no cell service, Internet or social media is a romantic way to repair your marriage and sex life? Think again. Meet Dan and Jeanine Dewerson. The only spark in their bedroom is from the wall socket. Their daughter's best friend is her iPad. Dan's not going to take it anymore and plans a quiet, relaxing weekend in a remote mountain town. No kids, no phones, no social media, only clean fresh air and lots of romance. But what starts as the perfect weekend quickly becomes disastrous with unearthly encounters, strong edibles, and cranky odd locals. Without GPS to guide them or social media to stave off their boredom, Dan and Jeanine are forced to reconnect with each other. Can a ""digital detox"" really save their marriage and their sanity?",2022-04-22
Mother Mountain,Mother Mountain,"A young, restless Jewish mother and her family move to an idyllic country property at the base of a mystical and sacred Aboriginal mountain (Gulaga, or “Mother Mountain”), with the hope of starting a new life. Still haunted by a marriage break-up and a strained relation with her parents, she struggles to find a meaningful connection with her new partner. When her daughter is bullied at the local school, an enigmatic Indigenous boy Ren comes to her aid and opens her eyes to the magic of the mountain and its bucolic surrounds. But an unexpected visit from her parents reopens old wounds, with unexpected consequences.",2022-04-28
Collision,Collision,"Over the course of one fateful day, a corrupt businessman and his socialite wife race to save their daughter from a notorious crime lord.",2022-06-16
Eraser: Reborn,Eraser: Reborn,"U.S. Marshal Mason Pollard specializes in “erasing” people – faking the deaths of high-risk witnesses. With the technological advances of the last 25 years, the game has upgraded, and it’s just another day at the office when he’s assigned to Rina Kimura, a crime boss’ wife who’s decided to turn state’s evidence. As the two flee to Cape Town, South Africa, Pollard discovers he’s been set up and will need to be at the top of his game, or he’ll be the one who’s erased.",2022-03-31
Spoiler Alert,Spoiler Alert,"Journalist Michael Ausiello embarks on a rollercoaster ride of emotions when Kit Cowan, his partner of 14 years, is diagnosed with terminal cancer.",2022-12-02
ABBA Voyage,ABBA Voyage,"ABBA Voyage is a virtual concert residency by the Swedish pop group ABBA. The concerts feature virtual avatars (dubbed 'ABBAtars'), depicting the group as they appeared in 1977. The concerts are held in a purpose-built venue at the Queen Elizabeth Olympic Park in London, officially called the ABBA Arena.",2022-05-27
Spiderhead,Spiderhead,A prisoner in a state-of-the-art penitentiary begins to question the purpose of the emotion-controlling drugs he's testing for a pharmaceutical genius.,2022-06-17
Ernani - ROMA,Ernani - ROMA,"Ernani is a love story about a young woman, Elvira, caught between three men: her lover, the nobleman-turned-outlaw Ernani; her guardian, the rich, elderly de Silva, who wants her for himself; and Don Carlo, the King of Spain who also has his eye on Elvira. Given the number of protagonists, it is also the story of a tragedy.  Only 14 years after the premiere of Hernani, Giuseppe Verdi adapted Victor Hugo’s play into an opera to premiere at La Fenice, Venice in 1844. Ernani was an immediate and lasting triumph for the young Verdi, marking his prowess at adapting an historical event (the crowning of Charles V as emperor at Aachen Cathedral) to a psychologically convincing musical drama. The backdrop of three men paying court to one woman was the perfect foil for Verdi to explore the expressive qualities of three types of male voice. The tenor, the bass and the baritone.",2022-07-29
Turning Red,Turning Red,"Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda.",2022-03-10
Savage Salvation,Savage Salvation,"Newly engaged Shelby John and Ruby Red want a fresh start after their struggles with addiction, but when Shelby discovers his beloved Ruby dead on their porch, he embarks on a vengeful killing spree of the dealers who supplied her. Armed with nothing but adrenaline and a nail gun, Shelby begins to unleash chaos on the town’s criminal underbelly, as he hunt’s down crime lord Coyote. Sheriff Church must race against the clock to put an end to Shelby's vigilante justice before the entire town descends into a bloodbath.",2022-12-02
They/Them,They/Them,Campers at an LGBTQ+ conversion camp endure unsettling psychological techniques while the campsite is stalked by a mysterious killer.,2022-07-24
The Batman,The Batman,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",2022-03-01
